categoryId,channelTitle,id,title,viewCount
25,숏츠파이프,_C_xG10JwXs,문형배 헌법재판관을 이끈 진정한 어른  김장하 선생,2069376
25,짧뉴(짧은뉴스),fUHwiN3PtXw,뱀장어 대가리에 참기름 바르는 소리 [짧뉴] 박지원 이완규 법사위 #짧은뉴스,1111585
25,뉴스TVCHOSUN,bc2V23thUP8,홍준표  '뉴스타파' 기자 질문하자 쿨하게 나갔다 [티조Clip] #shorts,771368
25,MBCNEWS,jmS9nHnHBxg,사건 직전 CCTV 봤더니.. #Shorts (MBC뉴스),1323239
25,한국경제TV,y8YFzopyPTk,미국은 중국을 이길 수 없다┃전병서 중국경제금융연구소장,1277027
25,김어준의 겸손은힘들다 뉴스공장,B2R6fsL0NYE,김어준의 겸손은힘들다 뉴스공장 2025년 4월 18일 금요일 [이광희  김승원  최기상  전우용  김태형  류근  박구용  여론조사  금요음악회(정태춘  오민석)],1776959
25,[팟빵] 매불쇼,MfFiAJk25BM,국민의 뒤통수 치는 국민의힘! 국민의힘 뒤통수 치는 윤석열! | 풀버전,1606371
25,비디오머그 - VIDEOMUG,__LcIMYY8jA,[지식뉴스] 🇺🇸🇨🇳 때렸다 달랬다  다급해진 트럼프...시진핑이 노리는 마지막 반격 카드는 '이것' (ft.전병서 중국경제금융연구소 소장) / 교양이를 부탁해 / 비디오머그,1064573
25,뉴스토마토,y4MLNZJp4Ao,모두가 놀란 외신의 극찬 “한국  이재명 시대가 왔는가? 이재명은 xxx할 것” 전세계가 이재명을 주목한 이유는?  #뉴스인사이다  (문희정  일리야),716286
25,어준이뉴스,eY0BjHvb5H0,지귀연 무죄 판결 전망은? 지귀연 심우정의 합작품 이제 그만.. #신장식 #뉴스공장,906742
25,SBS 뉴스,x-m9eTP_iGo,관저 밖 걸어나오는 김건희 모습 포착 #shorts,1195034
25,KBC 뉴스,4yIgsTFat5k,이재명 캠프 법률지원단에 '호위무사' 박균택·정준호#shorts,821642
25,MBC PD수첩,_23pnnnJQX4,[PD수첩.Zip] 그들은 왜 '계몽' 되었나 - 윤석열 전 대통령 취임부터 파면까지 PD수첩 몰아보기 3탄,534364
25,CBS 김현정의 뉴스쇼,YE6QwCp9vaU,[인터뷰] 홍장원 "계엄의 밤으로 돌아간다면? 尹에게 이 말 하고파"   "난 환갑 지난 블랙요원  이젠 내 이름으로 신나게…",613124
25,띨띨이 당,L7VD3SuDi_Y," 니네가 내실게요~ ",754518
25,MBN News,SJVzzlE5KGw,[이슈 직진] 루머는 어떻게 퍼졌나?...경찰 "도봉역 차량 난동 사건 당사자는 중년 여성" | MBN 250418 방송,776995
27,JTV ON,ow_5SJj622Y,[꺼내본 뉴스] 아버지는 어려운 결정을 했다,753958
22,우령의 유디오,pNdrToGWBUU,시각장애 앵커가 뉴스를 떠나기 전 남긴 클로징 멘트,297677
22,자우소,Amwy5E_fvkM,주한미군 감축시 북한남침가능성,859476
25,잼뉴(잼있는뉴스),s_oqa-0zH5w,전원책 포퓰리스트 격하에도 이재명은 우문현답 [잼뉴] #잼있는뉴스,659233
25,뉴스타파 Newstapa,ZD3IKorwETk,권성동 국민의힘 원내대표  취재중인 뉴스타파 기자 폭행 - 뉴스타파,1276364
25,펜앤마이크TV,BVwxndCgsnQ,이재명  대선 패배 자백하다 / 김기흥의 FM뉴스,246828
25,배승희 변호사,m-8fBsdkS3c,문형배 결국 폭로!  이럴수가! [배승희 뉴스배송],652021
25,JTBC News,lMNiX044Xw4,깜빡하고 휴게소에 '개' 두고 간 주인 #JTBC #Shorts,489291
25,한겨레TV,UTix5P6jGVk,노영희가 일 냈다! “이렇게 밝히면 돼...단순 낭비 아냐!” 윤석열·김건희 228톤 물 사용 진상규명법 정리(장윤미 노영희 박진영) | 뉴스 다이브 0417 클립2,575108
25,대구MBC뉴스,1mTLcHt0Ts8,[만나보니] '보수의 성지' 대구 서문시장의 민심은? | 대구MBC뉴스,405925
25,인생국장,xjxph0-4h14,기자 손목 꺾은 권성동  윤석열 정부는 언론이 적인가?,138165
24,UlsanTV-052,fEfnN5svIu8,300쪽이 널 쪽 내줄께!!,529704
25,시사IN(시사인),c7ahPY4q4OI,'지귀연 동기' 박지훈이 밝힌 그의 정체! 장윤선X정준희  입틀막 권성동-홍준표에 분노! 5:3 데드락 찌라시 생산자 정체 밝혀졌다｜[김은지의 뉴스IN] #윤석열 #김건희 #지귀연,428510
25,채널A 뉴스TOP10,hGPsqqg_zM4,이동건 ‘제주 카페’에 뿔난 인근 상인들…왜? / 채널A / 뉴스TOP 10,974484
25,KNN NEWS,4T6Vy71lTx0,[풀버전] 국민의힘 대선 후보자 토론회 홍준표·한동훈·나경원·이철우/ KNN,124466
25, YTN,QCNchtpd0bk,법원은 이번에도 뉴진스 손을 들지 않았다....NJZ 활동 중단 [지금이뉴스] / YTN,1364955
25,MBC 라디오 시사,wVUU0FjK5Yw,무산된 '윤 어게인' 창당...'尹  파면 당일 허락했다' 보도도 - 임경빈  [권순표의 뉴스하이킥]  MBC 250418 방송,291979
25,이슈카톡,vWXIwvbJj4w,홍준표  호환마마 보다 무서운 뉴스타파 기자 보고  오만상 쓰며~ 줄행랑~ 런~준표~,240572
25,무지개,52-StaMrdUs,전 국민이 아는 목소리를 가진 여성의 마지막 뉴스,2009587
25,열린공감TV,VhkKh4Bn1gA,【굥짜장썰뎐 68회】 분신시도! “백해룡 비리엮어 처벌하라고!“,370286
25,KBS News,hI0I7XWtr7E,[자막뉴스] 20억이나 들였다는 '공용화장실'..."칸막이도 없는데 어떻게 써요" / KBS 2025.04.17.,747432
25,채널A News,4Sk235OODYM,‘윤석열 신당’ 창당…내일 기자회견 / 채널A / 뉴스A,776729
25,조선일보,ktDcAg3ObTQ,[더잇슈] '범죄 이력' 언급하며 이재명 제대로 비꼬았지만.. 침묵 지키고 있는 민주당?,199138
22,스타갤러리,nr4La0NmFZM,윤대통령 검찰 증인 김형기 대대장 오히려 계엄은 평화적이었다?,298800
27,원더영어 WONDER,9UaXE--1FmM,"이정후 야구센스  타격감 미쳤네요!!" 미국 뉴스 앵커부터 현지 해설진까지 이정후 이름 연호하며 난리난 이유,281175
25,채널A 김진의 돌직구쇼,wK2I4v7NO9U,‘3자대결’ 무당층서 이재명·한덕수 ‘박빙’ / 채널A / 김진의 돌직구쇼,269508
25,TBC뉴스,9ULHBzRnFBM,전한길 강사와 이영돈 PD  "이재명 대표  20년 때부터 하고 있는 투표 조작 멈추길"ㅣTBC 정치in직캠,425456
