author,likeCount,text,videoId
@majidchboukmoreno9474,1,Aaaaaaaaaaaaaaaaaaaaaaaaaaaaa 9:53,2C6omXxIcyE
@EzioPayan,0,finaly a video,2C6omXxIcyE
@Ava-m3d,0,Chandlers beard 😢,2C6omXxIcyE
@RajeshTubmad,0,Who else is here before this blows up,2C6omXxIcyE
@MaskNality,0,The Nostalgia 😢,2C6omXxIcyE
@Hordehippy,0,Love the video but I wish it was a little slower 30 mins maybe? Felt a little rushed. Still awesome though. Glad gaming is back!,2C6omXxIcyE
@Duhman2,0,Where kriz ar?,2C6omXxIcyE
@miasb298,0,Yay gaming!!!!,2C6omXxIcyE
@KeownFabian-b5o,0,I didn t expect to love this as much as I do,2C6omXxIcyE
@halka-anime,0,yeeeey tareck in vedoe,2C6omXxIcyE
@byertvlaptop7322,0,Yesyesyes,2C6omXxIcyE
@ratishdebbarma2915,0,Pure talent. No words,2C6omXxIcyE
@JasolPolis,0,This video randomly popped up and I m glad it did,2C6omXxIcyE
@SheilinMartinez-mu9cx,0,Who else is here before this blows up,2C6omXxIcyE
@Ariana-eglovey,0,More mrbest gaming,2C6omXxIcyE
@RalphHoncho912,1,Now can we please stop comparing this man to Michael Jordan and especially Kobe Bryant,9mEhaQQ0C8Y
@EricMiller-y6c,0,Anyone else see that clown show on the right of the announcers table ? There’s like 8 people that look retarded.,9mEhaQQ0C8Y
@anthonyiovinella591,0,Proud of the clear team mentality that the wolves have got thriving in the franchise. Helluva game,9mEhaQQ0C8Y
@amc.izzle520,0,Wolves in 6,9mEhaQQ0C8Y
@HeatherPetersonf,0,Great job  this video was very useful!,9mEhaQQ0C8Y
@NvdxdfhFhjfryh,0,I learned more in 10 minutes than hours of Googling,9mEhaQQ0C8Y
@CameronReid-y7w,0,Pure talent. No words,9mEhaQQ0C8Y
@JeffreyAllen-s2z,0,This video randomly popped up and I m glad it did,9mEhaQQ0C8Y
@t3jf,0,Always a good day when the Lakers lose,9mEhaQQ0C8Y
@jlpecino7692,0,if they lost again game 2. its sad,9mEhaQQ0C8Y
@therealsopaid8014,0,Clearly Minnesota had a good shooting night,9mEhaQQ0C8Y
@796r,0,Why is there ads every minute  YouTube need fix this shhhh,9mEhaQQ0C8Y
@hasanmehedi-f6r,0,This deserves way more views. Absolutely underrated,9mEhaQQ0C8Y
@SalimSarkat,0,The way you explained this is SO clear. Thank you,9mEhaQQ0C8Y
@alazamayarekoj8368,0,Wolves in 5,9mEhaQQ0C8Y
@chapmanandchapmanproductio974,0,Hotter than fish grease !!!!! Lmaooooo,9mEhaQQ0C8Y
@truethat5326,0,Lakers will be sweep since they think everyone should just let them win.  Lebron and company were so piss poor today,9mEhaQQ0C8Y
@brahmadevyadav6902,0,I can t stop smiling watching this,9mEhaQQ0C8Y
@Joni-b6h8q,0,The editing is top-tier. Seriously impressive,9mEhaQQ0C8Y
@MugaboArbelt,0,Algorithm finally did something right,9mEhaQQ0C8Y
@SamanthaHanson-x3o,0,I can t stop smiling watching this,qjcQpic8r3U
@Hehxhxhdhsh,0,That transition at 3:12 was chefs kiss,qjcQpic8r3U
@shifahSaidat,0,You just earned a new subscriber,qjcQpic8r3U
@MakaylaAngel-u7d,0,Who else is here before this blows up,qjcQpic8r3U
@JujcrdavhZsmcidusrr,0,Algorithm finally did something right,qjcQpic8r3U
@rahulislam759,0,Can we all agree this creator deserves more recognition,qjcQpic8r3U
@FgdjgiDuyoh,0,Algorithm finally did something right,qjcQpic8r3U
@ChibiKenly-m9j,0,Who else is here before this blows up,qjcQpic8r3U
@GiovanyNzila,0,Your consistency is inspiring—keep going,qjcQpic8r3U
@Élianelobry,0,Came for the thumbnail  stayed for the vibes,qjcQpic8r3U
